8801,"MITSUI FUDOSAN CO., LTD.",三井不動産,50,Real Estate,Capital Goods/Others
8802,"MITSUBISHI ESTATE CO., LTD.",三菱地所,50,Real Estate,Capital Goods/Others
8804,"TOKYO TATEMONO CO., LTD.",東京建物,100,Real Estate,Capital Goods/Others
8830,"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",住友不動産,50,Real Estate,Capital Goods/Others
9001,"TOBU RAILWAY CO., LTD.",東武鉄道,250,Railway & Bus,Transportation and Utilities
9005,TOKYU CORP.,東急,100,Railway & Bus,Transportation and Utilities
9007,"ODAKYU ELECTRIC RAILWAY CO., LTD.",小田急電鉄,100,Railway & Bus,Transportation and Utilities
9008,KEIO CORP.,京王電鉄,250,Railway & Bus,Transportation and Utilities
9009,"KEISEI ELECTRIC RAILWAY CO., LTD.",京成電鉄,100,Railway & Bus,Transportation and Utilities
9020,EAST JAPAN RAILWAY CO.,東日本旅客鉄道,500,Railway & Bus,Transportation and Utilities
9021,WEST JAPAN RAILWAY CO.,西日本旅客鉄道,500,Railway & Bus,Transportation and Utilities
9022,"CENTRAL JAPAN RAILWAY CO., LTD.",東海旅客鉄道,500,Railway & Bus,Transportation and Utilities
9062,"NIPPON EXPRESS CO., LTD.",日本通運,500,Land Transport,Transportation and Utilities
9064,"YAMATO HOLDINGS CO., LTD.",ヤマトホールディングス,50,Land Transport,Transportation and Utilities
9101,NIPPON YUSEN K.K.,日本郵船,500,Marine Transport,Transportation and Utilities
9104,"MITSUI O.S.K.LINES, LTD.",商船三井,500,Marine Transport,Transportation and Utilities
9107,"KAWASAKI KISEN KAISHA, LTD.",川崎汽船,500,Marine Transport,Transportation and Utilities
9202,ANA HOLDINGS INC.,ＡＮＡホールディングス,500,Air Transport,Transportation and Utilities
9301,MITSUBISHI LOGISTICS CORP.,三菱倉庫,100,Warehousing,Transportation and Utilities
9412,SKY PERFECT JSAT HOLDINGS INC.,スカパーＪＳＡＴホールディングス,500,Communications,Technology
9432,NIPPON TELEGRAPH & TELEPHONE CORP.,日本電信電話,250,Communications,Technology
9433,KDDI CORP.,ＫＤＤＩ,25/3,Communications,Technology
9437,"NTT DOCOMO, INC.",ＮＴＴドコモ,500,Communications,Technology
9501,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, I",東京電力ホールディングス,500,Electric Power,Transportation and Utilities
9502,"CHUBU ELECTRIC POWER CO., INC.",中部電力,500,Electric Power,Transportation and Utilities
9503,"THE KANSAI ELECTRIC POWER CO., INC.",関西電力,500,Electric Power,Transportation and Utilities
9531,"TOKYO GAS CO., LTD.",東京瓦斯,250,Gas,Transportation and Utilities
9532,"OSAKA GAS CO., LTD.",大阪瓦斯,250,Gas,Transportation and Utilities
9602,"TOHO CO., LTD",東宝,500,Services,Consumer Goods
9613,NTT DATA CORP.,エヌ・ティ・ティ・データ,10,Communications,Technology
9735,"SECOM CO., LTD.",セコム,50,Services,Consumer Goods
9766,KONAMI HOLDINGS CORP.,コナミホールディングス,50,Services,Consumer Goods
9983,"FAST RETAILING CO., LTD.",ファーストリテイリング,50,Retail,Consumer Goods
9984,SOFTBANK GROUP CORP.,ソフトバンクグループ,25/3,Communications,Technology
